date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:58	1679/1679	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f841cac-68f%22	https://immo.capital/wp-content/plugins/wp-retina-2x-pro//app/retina.min.js?ver=1602493612	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/plugins/wp-retina-2x-pro/app/retina.min7ca6.js	(from https://immo.capital/)
09:36:58	39785/39785	---MCZ	200	added ('OK')	application/json	date:Fri,%2009%20Jun%202023%2007:36:58%20GMT	https://immo.capital/wp-json/wp/v2/pages/5	C:/My%20Web%20Sites/Immo/immo.capital/wp-json/wp/v2/pages/5.json	(from https://immo.capital/)
09:36:59	451256/451256	---MCZ	200	added ('OK')	application/json	date:Fri,%2009%20Jun%202023%2007:36:59%20GMT	https://immo.capital/wp-json/	C:/My%20Web%20Sites/Immo/immo.capital/wp-json/index.html	(from https://immo.capital/)
09:36:59	177037/177037	---M--	200	added ('OK')	image/jpeg	etag:%226357451a-2b38d%22	https://immo.capital/wp-content/uploads/2022/10/BG_desktop_v2.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2022/10/BG_desktop_v2.jpg	(from https://immo.capital/)
09:36:59	10046/10046	---M--	200	added ('OK')	image/png	etag:%225bffef55-273e%22	https://s0.wp.com/i/webclip.png	C:/My%20Web%20Sites/Immo/s0.wp.com/i/webclip.png	(from https://immo.capital/)
09:36:59	95763/95763	---M--	200	added ('OK')	image/jpeg	etag:%226357451c-17613%22	https://immo.capital/wp-content/uploads/2022/10/BG_mobile_v2.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2022/10/BG_mobile_v2.jpg	(from https://immo.capital/)
09:37:00	1118249/1118249	---M--	200	added ('OK')	image/jpeg	etag:%22640feed6-111029%22	https://immo.capital/wp-content/uploads/2023/03/home12.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2023/03/home12.jpg	(from https://immo.capital/)
09:37:00	98681/98681	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2007:37:00%20GMT	https://immo.capital/company/	C:/My%20Web%20Sites/Immo/immo.capital/company/index.html	(from https://immo.capital/)
09:37:01	63633/63633	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2007:37:00%20GMT	https://immo.capital/careers/	C:/My%20Web%20Sites/Immo/immo.capital/careers/index.html	(from https://immo.capital/)
09:37:02	1737844/1737844	---M--	200	added ('OK')	image/jpeg	etag:%22640fef0f-1a8474%22	https://immo.capital/wp-content/uploads/2023/03/home11.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2023/03/home11.jpg	(from https://immo.capital/)
09:37:02	60835/60835	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2007:37:01%20GMT	https://immo.capital/investment-strategies/	C:/My%20Web%20Sites/Immo/immo.capital/investment-strategies/index.html	(from https://immo.capital/)
09:37:02	1093565/1093565	---M--	200	added ('OK')	image/jpeg	etag:%22640fefdb-10afbd%22	https://immo.capital/wp-content/uploads/2023/03/home14.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2023/03/home14.jpg	(from https://immo.capital/)
09:37:03	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20Jun%202023%2007:37:02%20GMT	http://immo.capital/wp-content/uploads/2020/08/home01-min-1640x1482.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/08/home01-min-1640x1482.1b.delayed	(from https://immo.capital/)
09:37:03	59380/59380	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2007:37:02%20GMT	https://immo.capital/technology/	C:/My%20Web%20Sites/Immo/immo.capital/technology/index.html	(from https://immo.capital/)
09:37:03	971131/971131	---M--	200	added ('OK')	image/jpeg	etag:%22640ff047-ed17b%22	https://immo.capital/wp-content/uploads/2023/03/home155.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2023/03/home155.jpg	(from https://immo.capital/)
09:37:03	47347/47347	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2007:37:02%20GMT	https://immo.capital/resources/	C:/My%20Web%20Sites/Immo/immo.capital/resources/index.html	(from https://immo.capital/)
09:37:03	87008/87008	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2007:37:03%20GMT	https://immo.capital/case-studies/	C:/My%20Web%20Sites/Immo/immo.capital/case-studies/index.html	(from https://immo.capital/)
09:37:05	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20Jun%202023%2007:37:04%20GMT	http://immo.capital/wp-content/uploads/2020/08/home02-min-1640x1482.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/08/home02-min-1640x1482.1d.delayed	(from https://immo.capital/)
09:37:05	49085/49085	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2007:37:04%20GMT	https://immo.capital/press/	C:/My%20Web%20Sites/Immo/immo.capital/press/index.html	(from https://immo.capital/)
09:37:05	90358/90358	---M--	200	added ('OK')	image/jpeg	etag:%225f5a2568-160f6%22	https://immo.capital/wp-content/uploads/2020/08/home01-min-1640x1482.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/08/home01-min-1640x1482.jpg	(from https://immo.capital/)
09:37:05	46269/46269	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2007:37:04%20GMT	https://immo.capital/contact-us/	C:/My%20Web%20Sites/Immo/immo.capital/contact-us/index.html	(from https://immo.capital/)
09:37:05	114073/114073	---M--	200	added ('OK')	image/jpeg	etag:%225f5a2586-1bd99%22	https://immo.capital/wp-content/uploads/2020/08/home02-min-1640x1482.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/08/home02-min-1640x1482.jpg	(from https://immo.capital/)
09:37:06	275499/275499	---M--	200	added ('OK')	image/png	etag:%229aae5ad86d51e4a6%22	https://immo.capital/wp-content/uploads/2023/03/West-Germany-graphic-1640x1057.png	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2023/03/West-Germany-graphic-1640x1057.png	(from https://immo.capital/)
09:37:07	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20Jun%202023%2007:37:06%20GMT	http://immo.capital/investment-process/	C:/My%20Web%20Sites/Immo/immo.capital/investment-process/index.html	(from https://immo.capital/)
09:37:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20Jun%202023%2007:37:06%20GMT	https://immo.capital/case-studies	C:/My%20Web%20Sites/Immo/immo.capital/case-studies	(from https://immo.capital/)
09:37:07	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20Jun%202023%2007:37:07%20GMT	http://immo.capital/wp-content/uploads/2020/07/img32-min.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/07/img32-min.jpg	(from https://immo.capital/)
09:37:08	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20Jun%202023%2007:37:08%20GMT	http://immo.capital/wp-content/uploads/2020/08/img32-min.png	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/08/img32-min.png	(from https://immo.capital/)
09:37:08	71150/71150	---M--	200	added ('OK')	image/jpeg	etag:%225f5a2602-115ee%22	https://immo.capital/wp-content/uploads/2020/07/img32-min.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/07/img32-min.jpg	(from https://immo.capital/)
09:37:08	82632/82632	---M--	200	added ('OK')	image/png	etag:%225f5a25f0-142c8%22	https://immo.capital/wp-content/uploads/2020/08/img32-min.png	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/08/img32-min.png	(from https://immo.capital/)
09:37:08	98873/98873	---M--	200	added ('OK')	image/jpeg	etag:%225f5a25af-18239%22	https://immo.capital/wp-content/uploads/2020/09/Grosse-bergstrasse-3.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/09/Grosse-bergstrasse-3.jpg	(from https://immo.capital/)
09:37:08	41855/41855	---M--	200	added ('OK')	image/jpeg	etag:%225f5a25fa-a37f%22	https://immo.capital/wp-content/uploads/2020/08/valueslider2.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/08/valueslider2.jpg	(from https://immo.capital/)
09:37:09	256333/256333	---M--	200	added ('OK')	image/jpeg	etag:%225f5a259b-3e94d%22	https://immo.capital/wp-content/uploads/2020/09/Dobbelersweg-43-3OG-B_Efficient-12-2.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/09/Dobbelersweg-43-3OG-B_Efficient-12-2.jpg	(from https://immo.capital/)
09:37:09	212282/212282	---M--	200	added ('OK')	image/jpeg	etag:%225f5a2567-33d3a%22	https://immo.capital/wp-content/uploads/2020/09/Fricke-2.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/09/Fricke-2.jpg	(from https://immo.capital/)
09:37:09	102180/102180	---M--	200	added ('OK')	image/png	etag:%225f80267b-18f24%22	https://immo.capital/wp-content/uploads/2020/08/2.png	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/08/2.png	(from https://immo.capital/)
09:37:09	14952/14952	---M--	200	added ('OK')	image/jpeg	etag:%22617162b9-3a68%22	https://immo.capital/wp-content/uploads/2020/08/Vasile_Foca_Headshot.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/08/Vasile_Foca_Headshot.jpg	(from https://immo.capital/)
09:37:09	23167/23167	---M--	200	added ('OK')	image/jpeg	etag:%2261716215-5a7f%22	https://immo.capital/wp-content/uploads/2021/03/Andrew_Baum_Headshot.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2021/03/Andrew_Baum_Headshot.jpg	(from https://immo.capital/)
09:37:10	46454/46454	---M--	200	added ('OK')	image/jpeg	etag:%2261716951-b576%22	https://immo.capital/wp-content/uploads/2021/10/Todd_Ruppert_Headshot.jpeg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2021/10/Todd_Ruppert_Headshot.jpg	(from https://immo.capital/)
09:37:10	27779/27779	---M--	200	added ('OK')	image/jpeg	etag:%225f6c6c47-6c83%22	https://immo.capital/wp-content/uploads/2020/09/jan-antonin-kolar-8QJSi37vhms-unsplash.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/09/jan-antonin-kolar-8QJSi37vhms-unsplash.jpg	(from https://immo.capital/)
09:37:11	55353/55353	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2007:37:10%20GMT	https://immo.capital/article/	C:/My%20Web%20Sites/Immo/immo.capital/article/index.html	(from https://immo.capital/)
09:37:11	60428/60428	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2007:37:11%20GMT	https://immo.capital/article/code-like-a-proptech-github-copilot-and-chatgpt-boosting-developer-efficiency-at-immo/	C:/My%20Web%20Sites/Immo/immo.capital/article/code-like-a-proptech-github-copilot-and-chatgpt-boosting-developer-efficiency-at-immo/index.html	(from https://immo.capital/)
09:37:11	18962/18962	---M--	200	added ('OK')	image/jpeg	etag:%22ecb46df2523931f2%22	https://immo.capital/wp-content/uploads/2023/04/pexels-hatice-baran-16037283-451x301.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2023/04/pexels-hatice-baran-16037283-451x301.jpg	(from https://immo.capital/)
09:37:11	49831/49831	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2007:37:11%20GMT	https://immo.capital/article/immos-2023-uk-residential-outlook/	C:/My%20Web%20Sites/Immo/immo.capital/article/immos-2023-uk-residential-outlook/index.html	(from https://immo.capital/)
09:37:12	27233/27233	---M--	200	added ('OK')	image/jpeg	etag:%226a09334b4c1e4ba7%22	https://immo.capital/wp-content/uploads/2023/03/joao-barbosa-iSZJxklblkw-unsplash-451x301.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2023/03/joao-barbosa-iSZJxklblkw-unsplash-451x301.jpg	(from https://immo.capital/)
09:37:12	49582/49582	---M--	200	added ('OK')	image/jpeg	etag:%22a8124da2b3c52b5b%22	https://immo.capital/wp-content/uploads/2023/02/iStock-522538306-451x301.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2023/02/iStock-522538306-451x301.jpg	(from https://immo.capital/)
09:37:12	53450/53450	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2007:37:12%20GMT	https://immo.capital/article/what-higher-interest-rates-mean-for-single-family-rental-investments/	C:/My%20Web%20Sites/Immo/immo.capital/article/what-higher-interest-rates-mean-for-single-family-rental-investments/index.html	(from https://immo.capital/)
09:37:13	59269/59269	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2007:37:13%20GMT	https://immo.capital/privacy-policy/	C:/My%20Web%20Sites/Immo/immo.capital/privacy-policy/index.html	(from https://immo.capital/)
09:37:13	6761/6761	---MCZ	200	added ('OK')	application/javascript	etag:W/%226466e564-1a69%22	https://s0.wp.com/wp-content/js/bilmur.min.js?m=202323	C:/My%20Web%20Sites/Immo/s0.wp.com/wp-content/js/bilmur.mine142.js	(from https://immo.capital/)
09:37:13	295491/295491	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f5a2551-48243%22	https://immo.capital/wp-content/themes/immocapital-theme/assets/js/main.min.js	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/themes/immocapital-theme/assets/js/main.min.js	(from https://immo.capital/)
09:37:13	48551/48551	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2007:37:13%20GMT	https://immo.capital/terms-and-conditions/	C:/My%20Web%20Sites/Immo/immo.capital/terms-and-conditions/index.html	(from https://immo.capital/)
09:37:13	1403/1403	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264405545-57b%22	https://immo.capital/wp-content/plugins/activecampaign-subscription-forms/site_tracking.js?ver=6.2.2	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/plugins/activecampaign-subscription-forms/site_tracking3781.js	(from https://immo.capital/)
09:37:13	1425/1425	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2009%20Jun%202023%2007:36:47%20GMT	https://js-eu1.hs-scripts.com/26635772.js?integration=WordPress&ver=10.1.24	C:/My%20Web%20Sites/Immo/js-eu1.hs-scripts.com/266357728707.js	(from https://immo.capital/)
09:37:14	13576/13576	---MCZ	200	added ('OK')	application/javascript	etag:W/%226466d530-3508%22	https://stats.wp.com/e-202323.js	C:/My%20Web%20Sites/Immo/stats.wp.com/e-202323.js	(from https://immo.capital/)
09:37:14	10408/10408	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f5a254e-28a8%22	https://immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.eot	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.eot	(from https://immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.css?ver=6.2.2)
09:37:14	10408/10408	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f5a254e-28a8%22	https://immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.eot?	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfontd41d.eot	(from https://immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.css?ver=6.2.2)
09:37:15	5532/5532	---M--	200	added ('OK')	application/font-woff2	etag:%225f5a2541-159c%22	https://immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.woff2	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.woff2	(from https://immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.css?ver=6.2.2)
09:37:15	6652/6652	---M--	200	added ('OK')	application/font-woff	etag:%225f5a2554-19fc%22	https://immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.woff	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.woff	(from https://immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.css?ver=6.2.2)
09:37:15	10240/10240	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%225f5a253e-2800%22	https://immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.ttf	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.ttf	(from https://immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.css?ver=6.2.2)
09:37:15	39679/39679	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Jun%202023%2007:37:15%20GMT	https://immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.svg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.svg	(from https://immo.capital/wp-content/themes/immocapital-theme/assets/icons/iconfont.css?ver=6.2.2)
09:37:16	1009/1009	---M--	200	added ('OK')	image/png	etag:%2250dd662a-3f1%22	https://immo.capital/wp-content/plugins/jetpack/modules/shortcodes/img/slideshow-controls.png	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/plugins/jetpack/modules/shortcodes/img/slideshow-controls.png	(from https://immo.capital/wp-content/plugins/jetpack/css/jetpack.css?ver=12.2-beta)
09:37:16	1944/1944	---M--	200	added ('OK')	image/png	etag:%2250dd662a-798%22	https://immo.capital/wp-content/plugins/jetpack/modules/shortcodes/img/slideshow-controls-2x.png	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/plugins/jetpack/modules/shortcodes/img/slideshow-controls-2x.png	(from https://immo.capital/wp-content/plugins/jetpack/css/jetpack.css?ver=12.2-beta)
09:37:16	5704/5704	---M--	200	added ('OK')	image/png	etag:%22534ea9b0-1648%22	https://immo.capital/wp-content/plugins/jetpack/modules/shortcodes/images/slide-nav.png	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/plugins/jetpack/modules/shortcodes/images/slide-nav.png	(from https://immo.capital/wp-content/plugins/jetpack/css/jetpack.css?ver=12.2-beta)
09:37:16	2039/2039	---M--	200	added ('OK')	image/png	etag:%22534ea9b0-7f7%22	https://immo.capital/wp-content/plugins/jetpack/modules/shortcodes/images/expand.png	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/plugins/jetpack/modules/shortcodes/images/expand.png	(from https://immo.capital/wp-content/plugins/jetpack/css/jetpack.css?ver=12.2-beta)
09:37:17	2072/2072	---M--	200	added ('OK')	image/png	etag:%22534ea9b0-818%22	https://immo.capital/wp-content/plugins/jetpack/modules/shortcodes/images/collapse.png	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/plugins/jetpack/modules/shortcodes/images/collapse.png	(from https://immo.capital/wp-content/plugins/jetpack/css/jetpack.css?ver=12.2-beta)
09:37:17	21370/21370	---M--	200	added ('OK')	image/png	etag:%22508ff2f2-537a%22	https://secure.gravatar.com/images/grav-share-sprite.png	C:/My%20Web%20Sites/Immo/secure.gravatar.com/images/grav-share-sprite.png	(from https://immo.capital/wp-content/plugins/jetpack/css/jetpack.css?ver=12.2-beta)
09:37:18	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20Jun%202023%2007:37:17%20GMT	http://immo.capital/wp-content/uploads/2020/08/about01-min.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/08/about01-min.43.delayed	(from https://immo.capital/company/)
09:37:18	62958/62958	---MCZ	200	added ('OK')	application/json	date:Fri,%2009%20Jun%202023%2007:37:17%20GMT	https://immo.capital/wp-json/wp/v2/pages/26	C:/My%20Web%20Sites/Immo/immo.capital/wp-json/wp/v2/pages/26.json	(from https://immo.capital/company/)
09:37:18	128406/128406	---M--	200	added ('OK')	image/png	etag:%2263eb31a6-1f596%22	https://immo.capital/wp-content/uploads/2023/02/Hans-Christian-Zappel_ROUND_immo-capital.png	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2023/02/Hans-Christian-Zappel_ROUND_immo-capital.png	(from https://immo.capital/company/)
09:37:18	471556/471556	---M--	200	added ('OK')	image/jpeg	etag:%225f5a25ca-73204%22	https://immo.capital/wp-content/uploads/2020/08/about01-min.jpg	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2020/08/about01-min.jpg	(from https://immo.capital/company/)
09:37:18	1592/1592	---M--	200	added ('OK')	image/png	etag:%2261a907c7-638%22	https://immo.capital/wp-content/uploads/2021/12/Group-22.png	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2021/12/Group-22.png	(from https://immo.capital/company/)
09:37:18	370/370	---M--	200	added ('OK')	image/png	etag:%2261a9fbe4-172%22	https://immo.capital/wp-content/uploads/2021/12/X.png	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2021/12/X.png	(from https://immo.capital/company/)
09:37:19	112000/112000	---M--	200	added ('OK')	image/png	etag:%2263eb31a1-1b580%22	https://immo.capital/wp-content/uploads/2023/02/Avinav-Nigam_ROUND_immo-capital.png	C:/My%20Web%20Sites/Immo/immo.capital/wp-content/uploads/2023/02/Avinav-Nigam_ROUND_immo-capital.png	(from https://immo.capital/company/)
